variety_name,basic_material_number,crop_description,pre_commercial_name
YELLOW DOLL,000000000010761105,WATERMELON,YELLOW-DOLL
BONTA,000000000010762115,WATERMELON,EX-04513748
FENWAY,000000000010807420,WATERMELON,EX-6279
ROMALINDA,000000000010846945,WATERMELON,PX-04911712
MICKYLEE,000000000010764465,WATERMELON,MICKYLEE
SHARADA,000000000010800059,GOURD,RX-10492055
JHALARI,000000000010773440,GOURD,RX-10411084
SHBG 48,000000000010798361,GOURD,RX-10421048
ABISHEK,000000000010783574,GOURD,RX-10411200
FR COUPLE,000000000010905071,GOURD,
MANDY,000000000010757915,CUCUMBER,RX-93246
MERENGUE,000000000010764314,CUCUMBER,RX-03301930
MONISIA,000000000011297816,CUCUMBER,PSP-03306375
MIRABELLE,000000000010784040,CUCUMBER,RX-94266
CLAUDINE,000000000010818698,CUCUMBER,
CORENTINE,000000000010782289,CUCUMBER,RX-03303734
MARINDA,000000000010803348,CUCUMBER,MARINDA-F1-RS
MIDIOS,000000000011167072,CUCUMBER,DRB-0544
PACTO,000000000011167120,CUCUMBER,DRB-6075
MINI STARS,000000000011176484,CUCUMBER,DRB-7448
PRINTO,000000000011167110,CUCUMBER,DRB-0019
UNISTARS,000000000011627519,CUCUMBER,DRB-8912
DRL-9510,000000000011627642,CUCUMBER,DRL-9510
CAMARO,000000000011176470,CUCUMBER,CAMARO
LOUSTIK,000000000010787642,CUCUMBER,RX-03639968
ULRICA,000000000011167066,CUCUMBER,DRL-1061
FITNESS,000000000010820933,CUCUMBER,FITNESS
SHAKIRA,000000000011176488,CUCUMBER,DRL-1132
DOMINICA,000000000011167068,CUCUMBER,DRL-8234
RAPIDES,000000000011627300,CUCUMBER,DRL-9384
SAFRANA,000000000011176486,CUCUMBER,DRB-1023
SAXES,000000000011167136,CUCUMBER,DRB-4200
TORNAC,000000000011167074,CUCUMBER,GORDION
BARRACUDA,000000000011637908,CUCUMBER,DRB-4519
RS 03602833,000000000010890877,CUCUMBER,RX-03602833
KIRVEM,000000000011645351,CUCUMBER,DSB-8061
MASCOT,000000000011167118,CUCUMBER,DRB-0183
SV8975CB,000000000011627526,CUCUMBER,DRB-8975
SV8043CB,000000000011627707,CUCUMBER,DRB-8043
DRB 4946,000000000011188974,CUCUMBER,DRB-4946
TERMESSOS,000000000010808136,CUCUMBER,BX-03641491
FENOMENO,000000000011167138,CUCUMBER,DRB-2383
SAED,000000000010792105,CUCUMBER,RX-24189
PS 64,000000000011141852,CUCUMBER,BAP-EGH52593
DIDIM,000000000011167130,CUCUMBER,DRB-4685
DRB 6290,000000000011206544,CUCUMBER,DRB-6290
RS 03647736,000000000010768599,CUCUMBER,RX-03647736
BARAKA,000000000010811161,CUCUMBER,RX-26302
SV8047CB,000000000011642457,CUCUMBER,DSB-8047
BABY MINI,000000000010799246,CUCUMBER,RX-03649011
LEGENDARIO,000000000011637934,CUCUMBER,DRL-0076
ESPARTACO,000000000011627571,CUCUMBER,DRL-0075
SWEET SUCCESS PS,000000000010757910,CUCUMBER,SWEET-SUCCESS
KENIA,000000000010757939,CUCUMBER,PX-32013
NATASJA,000000000010771397,CUCUMBER,NATASJA
CC7140,000000000010844634,CUCUMBER,EX14727140
LEVINA,000000000010770733,CUCUMBER,LEVINA
IVORY,000000000010794784,CUCUMBER,RX-03300190
EUREKA,000000000010902025,CUCUMBER,PX-2888
EXPEDITION,000000000010763728,CUCUMBER,EX-04506116
EXCURSION,000000000010773646,CUCUMBER,EXCURSION
JOURNEY,000000000010834335,CUCUMBER,EX-4564229
VLASPIK UNBL,000000000010761865,CUCUMBER,VLASPIK
DARINA UNBL,000000000010767185,CUCUMBER,DARINA-F1-RS
DARLINGTON UNBL,000000000010838577,CUCUMBER,PX14710885
INDIO,000000000010811228,CUCUMBER,PX-155595
SPEEDWAY-UNBL,000000000010833141,CUCUMBER,PX-104388
CORTEZ UNBL,000000000010826304,CUCUMBER,PX-191091
THUNDERBIRD,000000000010792106,CUCUMBER,PX-100395
EDONA,000000000010764462,CUCUMBER,RX-19001
DASHER II UNBL,000000000010792102,CUCUMBER,PX-1274
PRINCE UNBL,000000000010844612,CUCUMBER,EX-167694
SAMARA UNBL,000000000010904805,CUCUMBER,PSX-141591
SAFAA UNBL,000000000010776124,CUCUMBER,SAFAA
BABYLON UNBL,000000000010904031,CUCUMBER,PX-30785
SV4196CD UNBL,000000000011488046,CUCUMBER,SVR-03664196
HAYEL UNBL,000000000010767636,CUCUMBER,PX-3605207
PS 3605347,000000000010762610,CUCUMBER,PX-3605347
RS 03643569 UNBL,000000000010822316,CUCUMBER,RX-03643569
RS 03471143,000000000010764347,CUCUMBER,RX-03471143
MALINI,000000000010815792,CUCUMBER,RX-89096
PS 109188 POLL,000000000010908098,CUCUMBER,PS-109188-POLL
SV4142CL,000000000011255559,CUCUMBER,SVR14764142
SV4212CL,000000000011255661,CUCUMBER,SVR14764212
PS 101695 POLL,000000000010831242,CUCUMBER,PX-101695-POLL
275-POLL,000000000010788419,CUCUMBER,275-POLL
226-POLL,000000000010757624,CUCUMBER,226-POLL
