variety_name,basic_material_number,crop_description,pre_commercial_name
YACINE,000000000012788354,MELON,16-DN-ANA-8047
SADOK,000000000012335998,MELON,12-DN-ANA-7443
HIRA,000000000012174656,MELON,11-DN-ANA-7194
ULTRAJELLY,000000000012929715,MELON,18-DV-CAN-7051
DON DAVID,000000000012289797,MELON,12-DV-HAR-3394
SVMF8179,000000000012986647,MELON,18-DV-CAN-8179
SVMF5675,000000000012539290,MELON,15-DV-HAR-5675
SVMF7843,000000000012986671,MELON,18-DV-CAN-7843
FLAVOR TIME,000000000012916020,MELON,18-DV-CAN-7059
SV1044MF,000000000011624769,MELON,17391044
SVMF7774,000000000039866249,MELON,19-DV-CAN-7774
SUGARMOON,000000000012810797,MELON,17-UM-CHA-7629
BELCANTO,000000000012949716,MELON,18-UM-CHA-8424
SUGARKECH,000000000012604753,MELON,16-UM-CHA-5335
FUNTASTIC,000000000012337304,MELON,14-UM-CHA-4014
SV9790MC,000000000011728427,MELON,11-UM-CHA-9790
SVMG4974,000000000012399424,MELON,13-HK-GAL-4974
ALBIZU,000000000012811645,MELON,17-HK-GAL-7420
SV3641MG,000000000011658495,MELON,DG-3641
VERDASCO,000000000012169414,MELON,13-HK-GAL-4857
ARINTO,000000000012647410,MELON,16-HK-GAL-6789
GALLAGER,000000000012647412,MELON,16-HK-GAL-6792
GALVIR,000000000012811667,MELON,17-HK-GAL-7464
SVMG5224,000000000012399426,MELON,13-HK-GAL-4832
CURELLA,000000000012647419,MELON,16-HK-GAL-6817
SV1232MG,000000000012169367,MELON,12-HK-GAL-4509
FLAVOR JOURNEY,000000000012539292,MELON,16-DV-HDG-4407
DESIDERIO,000000000030108565,MELON,20-AZ-ITA-7798
IMPERO,000000000012812275,MELON,17-AZ-ITA-5416
ARANGINA,000000000012812178,MELON,17-AZ-ITA-5454
RONCERO,000000000012647392,MELON,15-DN-SPA-8486
PORTUS,000000000012604757,MELON,14-DN-SPA-8001
GAJARDO,000000000012949769,SQUASH,18-R5-ZGC-5325
ANASTASIA,000000000012567675,SQUASH,16-EH-CAS-0765
REBORN,000000000012498213,SQUASH,15-EH-LEB-0563
SV2987YL,000000000011989142,SQUASH,12-EH-LEB-0434
YACARE,000000000012489995,SQUASH,14-EH-ZAQ-0657
TIGERGREY,000000000012830550,SQUASH,17-R5-ZGC-5302
BRYXBERRY,000000000012800677,WATERMELON,16-EJ-SOE-5363
SANTA MATILDE,000000000011848046,WATERMELON,SOE-EJH-0167
JAWAD,000000000012779161,WATERMELON,15-EJ-SOE-4218
REYA,000000000011848048,WATERMELON,SOE-EJH-0168
AFRODITA,000000000012120774,WATERMELON,12-EJ-SOE-1860
YASH,000000000012181214,WATERMELON,11-FE-SOE-0422
GREEN JAR,000000000012767100,WATERMELON,15-EJ-SOE-4232
ELOISSA,000000000013039392,WATERMELON,18-EJ-SOE-7157
EXHEDRA,000000000012420525,WATERMELON,14-EJ-SOE-3356
SVWT4710,000000000012809856,WATERMELON,15-EJ-STR-4710
SV3807WT,000000000012174746,WATERMELON,SVR8039-1006
RED HEAVEN,000000000012181584,WATERMELON,12-EJ-STR-1765
WATCHMAN,000000000030075206,WATERMELON,16-EJ-ZWM-5387
SWEET TRICK,000000000012006033,WATERMELON,SVR8038-8410
JOY RIDE,000000000011937826,WATERMELON,SVR8030-4065
SWEET PONTOON,000000000013051538,WATERMELON,17-EJ-SES-6179
SHORELINE,000000000012632450,WATERMELON,15-EJ-SES-4741
DURLINDA,000000000012162264,WATERMELON,11-Y7-SES-1501
BOTTLE ROCKET,000000000012162266,WATERMELON,SVR8039-0204
PADDLEBOAT,000000000012954106,WATERMELON,16-EJ-SES-5203
TAILGATE,000000000012173170,WATERMELON,SVR8030-4084
JET SKI,000000000013105633,WATERMELON,17-EJ-SES-6576
SUMMER BREEZE,000000000011938533,WATERMELON,SVR8030-4109
SANDBAR,000000000030110315,WATERMELON,18-EJ-SES-7826
SVWY2774,000000000012976854,WATERMELON,WML-EJ17-2774
WINGMAN,000000000012181290,WATERMELON,WMLEJ13-2629
SVCV9608,000000000012690422,CUCUMBER,16-DU-PSP-0093
KORVIN,000000000012691041,CUCUMBER,16-DU-PSP-0083
SV3506CV,000000000011985248,CUCUMBER,PSP-03303877
MADEIRA,000000000012654803,CUCUMBER,14-DU-PSP-0196
SV4097CV,000000000011511739,CUCUMBER,PSP-03304097
MADRILENE,000000000012338341,CUCUMBER,12-DU-PSP-0178
SVCV8818,000000000012656482,CUCUMBER,13-M3-PSP-8818
BRANDINO,000000000012654904,CUCUMBER,14-DU-PSP-0248
QUINTUS,000000000012123015,CUCUMBER,13-TA-BAP-8989
SPLASH,000000000030064298,CUCUMBER,19-Y3-BAP-6028
DR8986CB,000000000011775779,CUCUMBER,11-TA-BAP-8986
DELICTO,000000000013089380,CUCUMBER,19-Y3-BAP-6027
DR7109CB,000000000012123013,CUCUMBER,13-TA-BAP-1001
VERTUO,000000000012946383,CUCUMBER,18-Y3-EUR-9613
GIDEON,000000000012994438,CUCUMBER,18-Y3-EUR-1317
GARPO,000000000012336918,CUCUMBER,14-Y3-EUR-1231
KEYSTONE,000000000013050433,CUCUMBER,19-Y3-EUR-9615
DAVIDA,000000000012591382,CUCUMBER,16-Y3-EUR-1266
GEORGIA,000000000012836567,CUCUMBER,17-Y3-EUR-1301
BELGINO,000000000012072636,CUCUMBER,12-EG-BAP-1527
SVCB4521,000000000012811822,CUCUMBER,17-EG-BAP-4521
SV6608CB,000000000011975948,CUCUMBER,12-EG-BAP-5322
SV0684CB,000000000011727770,CUCUMBER,11-EG-BAP-0684
SHAHEER,000000000013036697,CUCUMBER,18-EG-BAP-5840
KISMET,000000000012856314,CUCUMBER,17-EG-BAP-7865
SV8547CB,000000000011864638,CUCUMBER,12-EG-BAP-8547
SOGNO VERDE,000000000012263810,CUCUMBER,14-EG-BAP-8945
SVCB7335,000000000012819164,CUCUMBER,17-EG-BAP-7335
AMENO VERDE,000000000030119738,CUCUMBER,18-EG-BAP-6779
MONZA,000000000012126276,CUCUMBER,13-EG-BAP-5180
TENEDOS,000000000012100501,CUCUMBER,13-EG-BAP-5342
SV8552CB,000000000011864880,CUCUMBER,12-EG-BAP-8552
RIPLEY,000000000012126274,CUCUMBER,13-EG-BAP-5187
SVCB7340,000000000012856592,CUCUMBER,17-EG-BAP-7340
SVCB4875,000000000012451633,CUCUMBER,15-EG-BAP-4679
SV5603CB,000000000012294590,CUCUMBER,14-EG-BAP-8781
TMEEM,000000000011727772,CUCUMBER,11-EG-BAP-0046
BAZELET,000000000012532330,CUCUMBER,15-EG-BAP-1958
SV9448CB,000000000012101145,CUCUMBER,13-EG-BAP-8900
ALTOVERDE,000000000012856472,CUCUMBER,16-EG-BAP-3451
NIMR,000000000012388152,CUCUMBER,15-EG-BAP-8968
AYOUBI VERDE,000000000030119730,CUCUMBER,18-EG-BAP-6778
KNIGHT VERDE,000000000012989277,CUCUMBER,16-EG-BAP-1339
AYBAK VERDE,000000000030119734,CUCUMBER,18-EG-BAP-6770
INVICTUS,000000000012538063,CUCUMBER,14-Y2-EUR-4512
ESTELAR,000000000030068528,CUCUMBER,18-Y2-EUR-8591
SV0091CE,000000000011625436,CUCUMBER,11-Y2-EUR-0091
SV5047CE,000000000011867961,CUCUMBER,12-Y2-EUR-5047
TESEO,000000000012097070,CUCUMBER,12-Y2-EUR-2052
SUMUN,000000000011867053,CUCUMBER,11-EF-PSL-1041
SV2516CP,000000000011864441,CUCUMBER,15492516
SV6836CP,000000000011987767,CUCUMBER,10-EF-PSL-1536
AURIGA,000000000012187185,CUCUMBER,11-EF-PSL-1040
SIRE R,000000000011655065,CUCUMBER,SIRE-R
SVCL1479,000000000012800121,CUCUMBER,16-M3-POL-1479
CHAPERON,000000000012473553,CUCUMBER,13-M3-POP-0307
SV7135CN,000000000020016672,CUCUMBER,SVR14727135
PEACEMAKER,000000000012185784,CUCUMBER,13-M3-POP-0498
STRONGHOLD,000000000013046538,CUCUMBER,16-M3-POP-1393
GATEHOUSE,000000000013046594,CUCUMBER,16-M3-POP-1395
ESPIRIT,000000000012798499,CUCUMBER,15-M3-POP-1192
CITADEL,000000000012185786,CUCUMBER,13-M3-POP-0506
SARGENTO,000000000011970718,CUCUMBER,SVR14784792
BRISTOL UNBL,000000000011966840,CUCUMBER,SVR14784825
RACEWAY,000000000012697783,CUCUMBER,14-M3-ASL-0927
SVCS0542 UNBL,000000000030114051,CUCUMBER,18-M3-ASL-0542
BRICKYARD,000000000012697457,CUCUMBER,13-M3-ASL-0087
RACE TRACK,000000000030114055,CUCUMBER,17-M3-ASL-0029
SVCD5067,000000000030105250,CUCUMBER,18-EG-BAT-5067
BEBARS,000000000030105246,CUCUMBER,18-EG-BAT-5134
SV7298CQ,000000000011990191,CUCUMBER,10496060
AMARANTO STOCK,000000000013027950,"BEAN, DRY",
AMARANTO,000000000012262816,"BEAN, DRY",14-C6-BRB-0001
SV1893GH STOCK,000000000030005575,"BEAN, DRY",
SV1893GH,000000000012262812,"BEAN, DRY",12-NAV-1200
SV6139GR STOCK,000000000012696169,"BEAN, DRY",
SV6139GR,000000000012186991,"BEAN, DRY",12-PIN-1012
COMPETITOR,000000000012057792,"BEAN, GARDEN",11-C6-FIV-1521
SVGV2138,000000000030115624,"BEAN, GARDEN",20-DJ-FIV-2138
DARK HORSE,000000000030011378,"BEAN, GARDEN",19-DJ-FMG-2118
SVGG1312,000000000012781736,"BEAN, GARDEN",16-DK-FMG-1312
AFFIRMED,000000000012057796,"BEAN, GARDEN",10-C6-FMG-1379
NYQUIST,000000000013033769,"BEAN, GARDEN",18-DJ-FMG-2097
GOUTI,000000000012072704,"BEAN, GARDEN",09-DK-FMS-1544
KIBOKO,000000000012964395,"BEAN, GARDEN",17-DK-FMS-1566
TIEZO,000000000012330360,"BEAN, GARDEN",14-DK-FMS-1557
GIULIVO,000000000012330344,"BEAN, GARDEN",13-DK-FMS-1556
GREEN DELICIOUS,000000000012833762,"BEAN, GARDEN",17-DJ-FOR-2091
SV1136GF,000000000011603826,"BEAN, GARDEN",FORC6V1136
JUSTIFY,000000000030119295,"BEAN, GARDEN",19-DJ-FOR-2123
TAKOUNYA,000000000012781744,"BEAN, GARDEN",16-DK-ONE-1174
ASTUTE,000000000012339576,"BEAN, GARDEN",12-DJ-ONE-1783
FIRDAOUSS,000000000012498481,"BEAN, GARDEN",13-DK-PLB-3216
SV3212GP,000000000011789149,"BEAN, GARDEN",09-DK-PLF-3212
SV3213GP,000000000011825027,"BEAN, GARDEN",09-DK-PLF-3213
TOPALEDA,000000000013077181,"BEAN, GARDEN",18-DK-PLB-5312
SOLFERINA,000000000012501553,"BEAN, GARDEN",14-DK-RFB-1821
STRONGA,000000000012964407,"BEAN, GARDEN",17-DK-RFB-1825
USAMBARA,000000000012354718,"BEAN, GARDEN",12-DK-RMB-1818
KUNDURA,000000000012659261,"BEAN, GARDEN",15-DK-THR-1295
SV1286GW,000000000011789144,"BEAN, GARDEN",10-DK-TWS-1286
BARCELONA,000000000013077007,"BEAN, GARDEN",18-DK-TWS-1204
GALANGA,000000000012330348,"BEAN, GARDEN",13-DK-TWS-1292
TUNIS,000000000013077005,"BEAN, GARDEN",18-DK-TWS-1203
CLERMONT,000000000012964414,"BEAN, GARDEN",17-DK-TWS-1201
SV0962QB,000000000011984002,PEA,DGI-C8101326
ICE PACK STOCK,000000000012397148,PEA,
SPRING STOCK,000000000012626396,PEA,
SV5795QE,000000000012192900,PEA,DLEC811-1463
SHERWOOD STOCK,000000000012383617,PEA,
SV0371QF STOCK,000000000012528415,PEA,
HACIENDA STOCK,000000000012391559,PEA,
BOLERO STOCK,000000000012626398,PEA,
SV7688QF,000000000011698924,PEA,DLFC710-1335
SV3290QF,000000000012192352,PEA,13-C7-DLF-1491
SV0893QF STOCK,000000000012489724,PEA,
SV0935QF STOCK,000000000012391813,PEA,
ASHTON STOCK,000000000012489726,PEA,
SV7688QF STOCK,000000000012528413,PEA,
AMNICON,000000000012192354,PEA,13-C7-DLF-1476
SV5685QG,000000000011696627,PEA,DLLC810-1343
HYPERION STOCK,000000000012489427,PEA,
PROMETHEUS STOCK,000000000012489429,PEA,
SV1022QG,000000000011529212,PEA,DLLC7091022
LAZOR STOCK,000000000012489721,PEA,
SV6844QG,000000000011978430,PEA,DLLC811-1500
SV0823QG,000000000012192169,PEA,13-C7-DLL-1504
SV8112QH,000000000011698922,PEA,DLSC710-1333
SV0969QH,000000000011529226,PEA,DLSC7080969
TALBOT STOCK,000000000012626422,PEA,
RELIANCE STOCK,000000000012391797,PEA,
SV8112QH STOCK,000000000012907822,PEA,
SV3628QH,000000000012192134,PEA,13-C7-DLS-1465
LOTUS STOCK,000000000012626420,PEA,
ROMANCE STOCK,000000000012391805,PEA,
SV3628QH STOCK,000000000012907648,PEA,
SV1084QJ,000000000011978426,PEA,LGSC811-1414
SV7944QJ,000000000011978428,PEA,LGSC811-1401
SV8138QJ,000000000012208123,PEA,LGSC811-1421
SVSA7178,000000000030113012,SWEET CORN,20-6S-QHB-7178
SKYRAY,000000000012962774,SWEET CORN,18-6S-QHB-0646
SVSA4153,000000000030006528,SWEET CORN,19-6S-QHB-4153
AFFECTION,000000000012508512,SWEET CORN,15-6S-QHB-4743
WHITAKER,000000000012962868,SWEET CORN,18-6S-QHW-4723
SV1580SC,000000000011820503,SWEET CORN,11-6R-QHW-1580
SVSC3795,000000000030007238,SWEET CORN,19-6S-QHW-3795
SVSD0784,000000000030110384,SWEET CORN,20-6S-QHY-0784
SV1446SD,000000000011820875,SWEET CORN,QHY6RH1446
SVSD0361,000000000030007240,SWEET CORN,19-6S-QHY-0361
SVSK4540,000000000030007252,SWEET CORN,19-6S-SHY-4540
SV1365SK,000000000011585448,SWEET CORN,SHY6RH1365
SVSK0391,000000000012349542,SWEET CORN,14-6S-SHY-0391
BIGHORN,000000000012501924,SWEET CORN,15-6S-SHY-4048
BULL MOOSE,000000000012502940,SWEET CORN,15-6S-SHY-6143
SV7538SK,000000000011991601,SWEET CORN,12-6S-SHY-1587
SV1514SK,000000000011732963,SWEET CORN,11-6R-SHY-1514
MESSENGER,000000000012352133,SWEET CORN,14-6S-SHY-1899
SV1339SK,000000000011535261,SWEET CORN,SHY6RH1339
PRONGHORN,000000000012502640,SWEET CORN,15-6S-SHY-5854
SVSK2949,000000000030115240,SWEET CORN,20-6S-SHY-2949
SVSU5255,000000000013106113,SWEET CORN,19-6S-SUY-5255
SC1263R,000000000012538098,SWEET CORN,16-6S-SUY-5503
HONEY SUGAR,000000000030106832,SWEET CORN,19-AV-TSY-0411
SWEET COAST,000000000030106814,SWEET CORN,19-AV-TSY-0363
OTTAVIANO,000000000012892279,FENNEL,16-KR-FAW-8346
AUGUSTO,000000000012263972,FENNEL,13-KR-FAW-1991
TRAIANO,000000000013056883,FENNEL,16-KR-FAW-8715
SV5057FM,000000000011750115,FENNEL,10-KR-SUM-5057
CARTESIO,000000000012568688,FENNEL,14-KR-SUM-3329
SVVA7468,000000000030109756,SPINACH,19-S0-ORN-7468
SVVA3845,000000000012656275,SPINACH,11-S0-ORN-3845
SVVA0985,000000000012514788,SPINACH,14-S0-ORN-7227
SV3749VA,000000000011777704,SPINACH,10-S0-ORN-3749
SVVA5459,000000000012339572,SPINACH,12-S0-ORN-3950
SVVA4099,000000000012339574,SPINACH,12-S0-ORN-3944
RANGITOTO,000000000012829223,SPINACH,17-S0-SAV-5892
KONA,000000000012961455,SPINACH,18-S0-SAV-2636
SVVB3719,000000000012338834,SPINACH,13-S0-SAV-2335
MOTUTAPU,000000000012829221,SPINACH,17-S0-SAV-5873
MAGNETIC,000000000012540830,SPINACH,15-S0-SAV-2533
MYKONOS,000000000012872939,SPINACH,16-S0-SAV-2553
JAVA,000000000012540800,SPINACH,15-S0-SMT-5568
ANTIGUA,000000000012516758,SPINACH,14-S0-SMT-5392
THANOS,000000000012957505,SPINACH,18-S0-SMT-5998
JOLO,000000000030007506,SPINACH,17-S0-SMT-5883
VOSTOK,000000000030115402,SPINACH,17-S0-SMT-5840
OBIRA,000000000030007508,SPINACH,16-S0-SMT-5793
UPOLU,000000000012730860,SPINACH,16-S0-SMT-5810
BYLOT,000000000012686512,SPINACH,15-S0-SMT-5613
TIMOR,000000000012961451,SPINACH,17-S0-SMT-5841
BORNEO,000000000012830569,SPINACH,16-S0-SMT-5796
SV2994VC,000000000011991170,SPINACH,066-0-1847
BERKNER,000000000012686514,SPINACH,15-S0-SMT-5593
MELVILLE,000000000012540808,SPINACH,15-S0-SMT-5581
MALVAC,000000000030132676,LETTUCE,20-E5-BAV-0066
ALWENNA,000000000030132624,LETTUCE,20-E5-BAV-1440
PLANTELA,000000000030074379,LETTUCE,19-E5-BAV-4926
PANORAMIS,000000000012909337,LETTUCE,18-E5-BUT-9742
FRILLASTI,000000000013037408,LETTUCE,19-E5-FRI-1403
VESPAC,000000000013063958,LETTUCE,19-E5-BAV-3101
CLERAC,000000000012957496,LETTUCE,18-E5-BAV-4472
SV6621LA,000000000012123077,LETTUCE,12-YU-BAV-2628
SV2921LA,000000000012298192,LETTUCE,13-YU-BAV-1990
LOUBRESSAC,000000000012431054,LETTUCE,15-YU-BAV-1504
SVLA5166,000000000012788930,LETTUCE,17-E5-BAV-5166
BAZILLAC,000000000012915903,LETTUCE,18-E5-BAV-1140
CHOUPAC,000000000030007500,LETTUCE,19-E5-BAV-1111
SV1235LB,000000000011953306,LETTUCE,PX-06511118
SVLC0286,000000000012337176,LETTUCE,13-G4-CHC-4160
SLOT MACHINE,000000000012759338,LETTUCE,17-8W-CHD-2043
POWERBALL,000000000013011313,LETTUCE,19-8W-CHD-9013
SV7735LD,000000000011953180,LETTUCE,PX-06515099
BANKROLL,000000000012759340,LETTUCE,17-8W-CHD-1830
GREAT,000000000012414499,LETTUCE,14-7S-CHD-1642
SV0822LD,000000000012109373,LETTUCE,PX-06517114
SVLD0093,000000000030066749,LETTUCE,19-8W-CHD-0093
SV1869LG,000000000011915047,LETTUCE,13-8W-CRC-0006
SV7772LG,000000000011980048,LETTUCE,PX-06511441
FREELOU,000000000012831659,LETTUCE,17-YU-OKL-3191
SV8893LN,000000000011670505,LETTUCE,PX-06518893
SVDC4193,000000000012528328,CARROT,15-7M-CAP-2022
SVDC1978,000000000012386570,CARROT,14-7M-CAP-1978
SV0400DH,000000000012044574,CARROT,12-7M-CHL-3554
ABRAZO,000000000012767724,CARROT,16-7M-CHL-3729
LES SAINTES,000000000012527961,CARROT,14-7M-CHL-3610
LEGRANA,000000000013052779,CARROT,18-7M-CHL-3780
ORANGEBLAZE,000000000012528332,CARROT,15-7M-CTL-2672
SV4128DL,000000000012217950,CARROT,12-7M-CTL-2542
CARIBOU,000000000012351281,CARROT,14-R9-NAN-4776
ORANGE DIAMOND,000000000012512114,CARROT,15-R9-NAN-5422
SVDN9207,000000000030134744,CARROT,21-R9-NAN-9207
SILVERSTAR,000000000030063804,CARROT,19-7M-NAN-5904
CAHOOT,000000000030033809,CARROT,20-R9-NAN-8860
SVDN9213,000000000030134753,CARROT,21-R9-NAN-9213
SVDN8577,000000000030033772,CARROT,20-R9-NAN-8577
SVDN5865,000000000012560777,CARROT,16-R9-NAN-5865
CARRUBA,000000000012560761,CARROT,16-R9-NAN-5756
CARVALO,000000000012351283,CARROT,14-R9-NAN-4427
CARLANO,000000000012207962,CARROT,13-R9-NAN-4252
CATANIA,000000000012879550,CARROT,18-R9-NAN-7396
SVDN6487,000000000012800450,CARROT,17-R9-NAN-6487
SV7390DT,000000000012087418,CARROT,12-KC-NAT-1009
GOSTAR,000000000011992971,LEEK,12-HG-EAT-6770
AVASTAR,000000000012837517,LEEK,17-HG-SMR-0612
MOTLEY RED,000000000030005010,ONION,18-SL-OLR-4677
RED GARCIA,000000000012892501,ONION,18-SL-OLR-1608
RED MARLEY,000000000012961501,ONION,16-SL-OLR-1298
TACANA,000000000012514046,ONION,15-SL-OLW-4139
TUCANNON,000000000011994550,ONION,EX07713741
SACRAMENTO,000000000012514058,ONION,15-SL-REC-0100
SVNV1672,000000000013092100,ONION,19-SL-REC-1672
ALMANZORO,000000000012820445,ONION,17-SL-REC-1507
HATCHET,000000000012832035,ONION,17-SL-SPN-1526
CRUSHER,000000000012540979,ONION,16-SL-SPN-1032
JAWBRIDGE,000000000012541421,ONION,16-SL-SPN-1026
OVERLOOK,000000000012541427,ONION,16-SL-STG-1141
KILLINGTON,000000000012535284,ONION,16-SL-STG-1496
POCONO,000000000012186141,ONION,13-SL-STG-8576
BARABOO,000000000012878521,ONION,18-SL-STG-7333
CATSKILL,000000000012349327,ONION,14-SL-STG-2824
SADDLEBACK,000000000012349325,ONION,14-SL-STG-2771
BOSSITO,000000000012263410,ONION,13-YO-LLY-0064
ROCKITO,000000000011603551,ONION,RX-07763700
LOVITO,000000000012537904,ONION,16-SL-LLY-1416
PACKITO,000000000012109260,ONION,SVS-96985
SHAKITO,000000000012387900,ONION,14-YO-LLY-0363
SV3557ND,000000000011603553,ONION,RX-07773557
SHEARWATER,000000000013016659,ONION,18-JS-MYS-3211
HARRIER,000000000012413242,ONION,14-JS-MYS-1933
RANGURU,000000000012087537,ONION,EX-07985018
SVNE7196,000000000013074726,ONION,18-UH-OMR-7196
RED FLOYD,000000000011844714,ONION,11-UH-OMR-3742
SVNE7194,000000000013074728,ONION,18-UH-OMR-7194
AJUSCO,000000000012387702,ONION,11-UH-OMW-5043
SEDA BLANCA,000000000012627651,ONION,15-UH-OMW-5143
CERINI,000000000012450020,ONION,12-UH-OMY-1541
SISKIYOU,000000000013074722,ONION,17-UH-OMY-2061
MINISTER,000000000012156696,ONION,11-UH-OMY-1123
HARLAN,000000000012616826,ONION,13-UH-OMY-1561
CODAL,000000000012323253,ONION,12-UH-OMY-1253
CLARKSON,000000000013074720,ONION,18-UH-OMY-2071
SVNG2075,000000000030095962,ONION,18-UH-OMY-2075
SV0106NG,000000000012156694,ONION,11-UH-OMY-1128
SV3588NJ,000000000012175095,ONION,EX-07593343
HOSHI,000000000011967194,ONION,EX-07593334
SWEET MAGNOLIA,000000000012295233,ONION,13-RV-OSG-5001
SWEET AZALEA,000000000012295231,ONION,EX-07593368
SV7030NS,000000000011651243,ONION,EX-07587030
RED HALEN,000000000012900257,ONION,18-RV-OSR-7044
SVNS7053,000000000030084800,ONION,19-RV-OSR-7053
RED MAIDEN,000000000012440158,ONION,15-RV-OSR-7036
ROCA BLANCA,000000000012762422,ONION,16-RV-OSW-6034
ALBA BLANCA,000000000012439066,ONION,14-RV-OSW-6002
SVNN1049,000000000012587904,ONION,16-RV-OSY-1049
HORNET,000000000012119775,ONION,EX-07521459
SVNN1127,000000000030084352,ONION,19-RV-OSY-1127
DUSTER,000000000011914043,ONION,EX-07593169
CHEVELLE,000000000012900261,ONION,17-RV-OSY-1071
NOMAD,000000000011915530,ONION,EX-07593337
SACHASEM,000000000012456872,ONION,15-RV-OSY-1038
HELLCAT,000000000012766391,ONION,16-RV-OSY-1069
TAKAHE,000000000012120917,ONION,12-RV-OTR-0008
SV0748NP,000000000012120913,ONION,12-RV-OTR-0003
SVNS7904,000000000013070841,ONION,SRL-RV19-7904
EKZELLA,000000000013070845,ONION,SRL-RV19-7905
SV1574EV,000000000012256688,EGGPLANT,13-XV-OVL-2177
CAPSIFORT,000000000011658058,PEPPER,CAPSIFORT
SVHB6680,000000000030129217,PEPPER,19-JX-BUL-6680
SVHA0786,000000000012988871,PEPPER,17-LP-ALG-0786
SVHA0919,000000000030037600,PEPPER,19-E6-ALG-0919
SVHA5033,000000000012988921,PEPPER,16-LP-ALG-5033
SVHA0020,000000000030109029,PEPPER,19-GB-ALG-0020
SVHA1452,000000000012893449,PEPPER,17-S9-ALG-1452
SVHA8913,000000000012568114,PEPPER,15-S9-ALG-0507
SVHA9093,000000000013033733,PEPPER,17-LP-ALG-1088
SVHA1049,000000000013032415,PEPPER,17-S9-ALG-1049
SVHA3131,000000000012742888,PEPPER,15-LP-ALG-2580
SITARA GOLD,000000000012260426,PEPPER,14-LP-ALG-0002
SVHD3979,000000000012568540,PEPPER,15-E6-ALS-1502
SVHD1591,000000000030109025,PEPPER,19-E6-ALS-1591
CARRANZA,000000000012186490,PEPPER,10-FD-ANC-3452
SVHE8261,000000000012959968,PEPPER,11-FD-ANC-8261
SVHE5952,000000000030059548,PEPPER,14-FD-ANC-9588
XALAPA,000000000011531269,PEPPER,PX-11486710
SPITFIRE,000000000012278094,PEPPER,10-FD-ANH-4845
SV5508,000000000012928047,PEPPER,18-E6-ASH-5508
SVHM1377,000000000030053167,PEPPER,19-S9-ASH-1377
SHIKHA,000000000013032088,PEPPER,17-S9-ASH-1619
SUNDRI-2,000000000030038072,PEPPER,19-E6-ASH-5517
SV7864HM,000000000011969413,PEPPER,12-E6-ASH-9607
SV9512HM,000000000011847973,PEPPER,10-E6-ASH-9512
SVHM5008,000000000030037964,PEPPER,19-E6-ASH-5008
PX-11459057,000000000011531267,PEPPER,PX-11459057
SVHJ5816,000000000030007456,PEPPER,18-FD-JAL-5816
SV3198HJ,000000000011695531,PEPPER,PX-11473198
SVHJ1497,000000000030036945,PEPPER,14-FD-JAL-1497
TZOTZIL,000000000012276364,PEPPER,11-FD-JAL-8632
SOLTANE,000000000030039445,PEPPER,13-FD-NAF-6401
BECAN,000000000011878682,PEPPER,SVR-1140-4951
SOMBRERETE,000000000020017137,PEPPER,SVR-1140-5276
DR0719PB,000000000011715084,PEPPER,11-XZ-BLK-0719
ALISON,000000000012610590,PEPPER,16-XZ-BLK-1709
CRISANTO,000000000012935512,PEPPER,18-XZ-BLK-2645
LEMONCELLO,000000000012143211,PEPPER,13-XD-BLK-2602
DRPB1745,000000000030106770,PEPPER,20-XZ-BLK-1745
EVERLEY,000000000012610604,PEPPER,16-XZ-BLK-2635
COZEY,000000000012447608,PEPPER,14-XD-BLK-2624
SOLSTICE,000000000012789848,PEPPER,17-XZ-BLK-0743
ADANSON,000000000030054729,PEPPER,18-XZ-BLK-1725
KITRINO,000000000012276562,PEPPER,12-8T-BLK-0713
SVPB1112,000000000012996864,PEPPER,19-LL-BLK-1112
RULFO,000000000012740439,PEPPER,14-8T-BLK-8973
LUCIANO,000000000012741494,PEPPER,16-8T-BLK-3765
ICAZA,000000000012311584,PEPPER,14-XD-BLK-2610
ARGAMAN,000000000012694918,PEPPER,14-LL-BLK-5768
SVPB1008,000000000012896296,PEPPER,18-LL-BLK-1008
SV9908PB,000000000011882593,PEPPER,12-8T-BLK-1172
SVPB1177,000000000030094595,PEPPER,20-LL-BLK-1177
ZAYAS,000000000012740471,PEPPER,14-8T-BLK-9039
SV1204PB,000000000011850039,PEPPER,11-YC-BLK-1204
TORMES,000000000012256039,PEPPER,13-YC-BLK-3018
CARAVAGGIO,000000000012386996,PEPPER,14-8T-BLK-6305
TAMAYO,000000000012387018,PEPPER,14-8T-BLK-6269
ARDANZA,000000000012149838,PEPPER,13-YC-BLK-1222
SV5581PH,000000000011863371,PEPPER,12-XG-HLG-5581
BARREIROS,000000000030036612,PEPPER,19-XG-HLG-5782
BAQUERO,000000000012294825,PEPPER,13-XG-HLG-5593
DELOR,000000000012489494,PEPPER,14-E8-HLG-5191
SVPP1876,000000000012607712,PEPPER,15-E8-PNT-9788
SVPS9064,000000000013022385,PEPPER,17-E7-SPE-9064
DUNBAR,000000000012181480,PEPPER,10-8T-BLK-4208
SVPB0599,000000000030063104,PEPPER,18-E7-BLK-0599
MOMENTUM,000000000012186426,PEPPER,09-8T-BLK-1617
REDFISH,000000000030007146,PEPPER,17-E7-BLK-9386
SVPB9503,000000000030112472,PEPPER,17-E7-BLK-9503
SVPB8500,000000000012894219,PEPPER,17-E7-BLK-8500
SVPB8415,000000000012344157,PEPPER,13-E7-BLK-8415
